,koff,delta_koff_sq
0,0.001,0.001107460419957812
1,0.0035,0.0011309650233459138
2,0.006,0.0012298593032354509
3,0.0085,0.0011985086429441598
4,0.011,0.001284347599475165
5,0.013500000000000002,0.0012798162684450661
6,0.016,0.001331467600291625
7,0.018500000000000003,0.0013811083506393594
8,0.021,0.0015443272188255149
9,0.0235,0.0016889047847936513
10,0.026000000000000002,0.001502747033778688
11,0.0285,0.0013960046043272974
12,0.031,0.0016564465455731904
13,0.0335,0.0016418154272242382
14,0.036000000000000004,0.0019416445223459815
15,0.0385,0.0020059596046973238
16,0.041,0.0018246981727679365
17,0.043500000000000004,0.0020086158438715122
18,0.046,0.0021686186870108278
19,0.0485,0.002148246913882865
20,0.051000000000000004,0.00198381106854009
21,0.0535,0.002435303800026809
22,0.056,0.002395461218069976
23,0.0585,0.0022484327270017833
24,0.061,0.00236748496744066
25,0.0635,0.0022844868499391955
26,0.066,0.0023935822021676108
27,0.0685,0.0025292195771797715
28,0.07100000000000001,0.0022295534792084897
29,0.0735,0.002370343137623843
30,0.076,0.00290964798105616
31,0.0785,0.0028644150247614363
32,0.081,0.0026866567727138247
33,0.0835,0.003108115167731299
34,0.08600000000000001,0.002734201124503875
35,0.08850000000000001,0.003569485036286593
36,0.091,0.0032631737658528085
37,0.0935,0.00282124212178839
38,0.096,0.0033282539265349184
39,0.0985,0.0031080782647727886
